,g,date,time,day,school,home/away,opponent,conf,w/l,pts,opp,w,l,streak,notes,pct_passing,yds_passing,td_passing,yds_rushing,avg_rushing,td_rushing,yds_tot_off,avg_tot_off.,tot_first_downs,no_penalties,tot_turnovers,team
5,6,2023-09-30,8:00 PM,Sat,San Diego State,@,Air Force,MWC,L,10,49,2,4,L 4,,52.0,122,1,105,3.5,0,227,4.1,14,5,1,san diego state
6,7,2023-10-14,11:00 PM,Sat,San Diego State,@,Hawaii,MWC,W,41,34,3,4,W 1,,75.0,221,1,157,3.7,3,378,5.6,17,1,1,san diego state
7,8,2023-10-21,9:00 PM,Sat,San Diego State,,Nevada,MWC,L,0,6,3,5,L 1,,42.9,47,0,157,4.0,0,204,3.8,11,7,1,san diego state
8,9,2023-11-04,7:00 PM,Sat,San Diego State,,Utah State,MWC,L,24,32,3,6,L 2,,65.0,263,3,121,3.9,0,384,5.4,17,9,1,san diego state
9,10,2023-11-11,7:00 PM,Sat,San Diego State,@,Colorado State,MWC,L,19,22,3,7,L 3,,76.0,128,0,145,4.5,2,273,4.8,17,4,1,san diego state
10,11,2023-11-18,10:30 PM,Sat,San Diego State,@,San Jose State,MWC,L,13,24,3,8,L 4,,62.5,117,0,183,4.5,1,300,4.6,18,1,2,san diego state
11,12,2023-11-25,10:30 PM,Sat,San Diego State,,Fresno State,MWC,W,33,18,4,8,W 1,,65.4,189,1,226,4.3,2,415,5.3,21,2,0,san diego state
0,1,2023-09-02,6:30 PM,Sat,Nevada,@,(6) USC,Pac-12,L,14,66,0,1,L 1,,64.7,311,1,49,1.3,1,360,5.0,12,4,1,nevada
1,2,2023-09-09,7:00 PM,Sat,Nevada,,Idaho,Non-Major,L,6,33,0,2,L 2,,52.6,148,0,118,4.7,0,266,4.2,14,3,3,nevada
2,3,2023-09-16,10:30 PM,Sat,Nevada,,Kansas,Big 12,L,24,31,0,3,L 3,,68.2,113,0,150,4.1,3,263,4.5,14,3,0,nevada
3,4,2023-09-23,7:00 PM,Sat,Nevada,@,Texas State,Sun Belt,L,24,35,0,4,L 4,,66.7,194,0,159,4.3,2,353,5.0,20,3,3,nevada
4,5,2023-09-30,10:30 PM,Sat,Nevada,@,(25) Fresno State,MWC,L,9,27,0,5,L 5,,54.3,167,1,53,1.7,0,220,3.3,17,10,2,nevada
5,6,2023-10-14,5:00 PM,Sat,Nevada,,Nevada-Las Vegas,MWC,L,27,45,0,6,L 6,,51.6,287,2,187,5.1,2,474,7.0,19,6,3,nevada
6,7,2023-10-21,9:00 PM,Sat,Nevada,@,San Diego State,MWC,W,6,0,1,6,W 1,,40.9,98,0,144,3.7,0,242,4.0,17,10,0,nevada
7,8,2023-10-28,10:30 PM,Sat,Nevada,,New Mexico,MWC,W,34,24,2,6,W 2,,52.6,131,0,180,3.8,2,311,4.6,20,12,0,nevada
